"","B365H","B365D","B365A"
"1",1.17,7,19
"2",1.57,4,6
"3",2.7,3.2,2.7
"4",1.29,5,13
"5",1.22,6,15
"6",1.73,3.5,5
"7",1.4,4.5,8.5
"8",1.22,5.5,17
"9",2.6,3.25,2.8
"10",2.1,3.3,3.6
"11",1.22,6,15
"12",1.14,7.5,21
"13",1.25,5.75,13
"14",1.22,6,15
"15",2,3.5,3.75
"16",1.2,7,13
"17",2.75,3.25,2.63
"18",4.5,3.6,1.8
"19",1.8,3.5,4.75
"20",2.5,3.25,2.88
"21",1.44,4.33,7.5
"22",1.4,4.33,9
"23",2.8,3.25,2.6
"24",1.53,3.8,7
"25",3.2,3.25,2.3
"26",4.2,3.5,1.91
"27",1.36,4.5,10
"28",1.4,4.33,9
"29",1.53,3.8,7
"30",2.25,3.3,3.3
"31",1.62,3.75,6
"32",1.57,4,6
"33",2.9,3.25,2.5
"34",4.33,3.6,1.83
"35",2.5,3.2,2.9
"36",2.1,3.3,3.6
"37",2.2,3.25,3.4
"38",6.5,3.8,1.57
"39",6.5,3.6,1.62
"40",3.1,3.25,2.38
"41",1.8,3.4,5
"42",1.91,3.3,4.33
"43",3,3.25,2.4
"44",7,4.2,1.5
"45",4.5,3.5,1.83
"46",1.73,3.6,5
"47",1.5,4.2,7
"48",1.73,3.6,5
"49",2.1,3.4,3.6
"50",1.91,3.4,4.2
"51",5.25,3.8,1.67
"52",3.3,3.4,2.2
"53",2.1,3.3,3.6
"54",2.4,3.25,3
"55",1.95,3.4,4
"56",1.83,3.5,4.5
"57",1.95,3.25,4.33
"58",7.5,4.33,1.44
"59",2,3.25,4
"60",6.5,4,1.53
"61",2.8,3.25,2.6
"62",3.5,3.4,2.1
"63",3.8,3.6,1.95
"64",2.63,3.25,2.75
"65",9,4.33,1.4
"66",2.25,3.2,3.4
"67",4.5,3.6,1.8
"68",2.25,3.3,3.25
"69",1.8,3.6,4.75
"70",6.5,4,1.53
"71",1.8,3.6,4.5
"72",2.25,3.3,3.25
"73",2,3.3,4
"74",2.1,3.3,3.6
"75",8.5,4.5,1.4
"76",2.88,3.25,2.5
"77",1.53,4,6.5
"78",2.25,3.3,3.3
"79",2.3,3.25,3.2
"80",2.5,3.3,2.88
"81",1.91,3.4,4.2
"82",3.4,3.3,2.2
"83",2.63,3.25,2.75
"84",7,4.2,1.5
"85",2.38,3.3,3
"86",13,5,1.29
"87",2.6,3.25,2.8
"88",2,3.4,3.8
"89",2.5,3.3,2.88
"90",2.25,3.3,3.3
"91",2.5,3.25,2.88
"92",5,3.8,1.7
"93",5.5,4,1.62
"94",7,4.2,1.5
"95",2.1,3.3,3.6
"96",1.2,6.5,15
"97",2,3.25,4
"98",1.17,7,19
"99",1.25,5.5,15
"100",1.14,8,19
"101",1.36,4.5,10
"102",1.22,6,15
"103",1.22,6,15
"104",1.8,3.6,4.5
"105",1.44,4.33,7.5
"106",1.22,6,15
"107",1.4,4.75,8
"108",1.14,8,19
"109",1.14,8,21
"110",1.1,10,23
"111",1.57,4,6
"112",1.44,4.2,6.5
"113",2.5,3.25,2.88
"114",3.5,3.4,2.1
"115",2.88,3.25,2.5
"116",1.83,3.5,4.5
"117",1.57,3.8,6.5
"118",2.88,3.25,2.5
"119",1.67,3.6,5.5
"120",5,3.6,1.73
"121",4.5,3.6,1.8
"122",1.36,4.5,10
"123",1.53,3.8,7
"124",1.44,4.33,7.5
"125",1.36,4.5,10
"126",1.29,5.5,11
"127",1.67,3.6,5.5
"128",4.2,3.4,1.91
"129",2.1,3.3,3.6
"130",1.91,3.5,4.2
"131",2.1,3.3,3.6
