"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HAG","HAS","HAST","HAC","HAOG","HAOS","HAOST","HAOC","HAF","HAOF","HAY","HAOY","HSR","HSOR","HAGD","g1h","g2h","g3h","B365H","B365D","B365A","AAG","AAS","AAST","AAC","AAOG","AAOS","AAOST","AAOC","AAF","AAOF","AAY","AAOY","ASR","ASOR","AAGD","g1a","g2a","g3a"
"1","E0",2009-08-22,"Arsenal","Portsmouth",4,1,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,7,19,0,9,4,5,1,9,5,4,20,11,5,0,0,0,-1,"L",NA,NA
"2","E0",2009-09-19,"Arsenal","Wigan",4,0,"H",4,19,16,8,1,9,4,4,9,10,1,0,0,0,3,"W",NA,NA,1.25,5.5,13,1.5,13,7,5.5,1,18.5,9.5,8,19,13,3.5,1.5,0,0,0.5,"L","W",NA
"3","E0",2009-10-04,"Arsenal","Blackburn",6,2,"H",4,21,13.5,7,0.5,8.5,4.5,4,7.5,14,1.5,1,0,0,3.5,"W","W",NA,1.2,6.5,15,0.5,12.5,4.5,6,2.5,13,8,3,16,13.5,1.5,1.5,0,0,-2,"L","L",NA
"4","E0",2009-10-17,"Arsenal","Birmingham",3,1,"H",4.66666666666667,22,15,7.33333333333333,1,8,5.33333333333333,3,8,12.6666666666667,1.33333333333333,1,0,0,3.66666666666667,"W","W","W",1.17,7,19,1,11.6666666666667,7,5,1.33333333333333,17,12.6666666666667,8.33333333333333,11.3333333333333,14.6666666666667,2.33333333333333,0.666666666666667,0,0,-0.333333333333333,"L","W","L"
"5","E0",2009-10-31,"Arsenal","Tottenham",3,0,"H",4.33333333333333,22.3333333333333,13.6666666666667,7,1,6,4.66666666666667,2.66666666666667,7.66666666666667,14.6666666666667,1.33333333333333,1.66666666666667,0,0,3.33333333333333,"W","W","W",1.57,4,6,1.33333333333333,11.6666666666667,5.66666666666667,6,2,20,12.3333333333333,8.66666666666667,12.6666666666667,12,2,1.66666666666667,1,1,-0.666666666666667,"W","D","L"
"6","E0",2009-11-29,"Arsenal","Chelsea",0,3,"A",4,20.6666666666667,14,7,1,5.66666666666667,4.66666666666667,2,9,12,1,1.33333333333333,0,0,3,"W","W","W",2.7,3.2,2.7,2,20.6666666666667,12.6666666666667,8.66666666666667,1.66666666666667,12.3333333333333,6.66666666666667,6,10.3333333333333,13,1.33333333333333,1.33333333333333,1,1,0.333333333333333,"W","L","L"
"7","E0",2009-12-05,"Arsenal","Stoke",2,0,"H",2,14.3333333333333,9,5.66666666666667,1.33333333333333,5.66666666666667,4,2.66666666666667,11.6666666666667,12.6666666666667,1.33333333333333,1.66666666666667,0,0,0.666666666666667,"L","W","W",1.29,5,13,0.666666666666667,7.33333333333333,3.33333333333333,1.66666666666667,0.666666666666667,16.3333333333333,8,6.66666666666667,14.3333333333333,10.6666666666667,3,0.666666666666667,1,0,0,"D","L","W"
"8","E0",2009-12-19,"Arsenal","Hull",3,0,"H",1.66666666666667,11.6666666666667,7.66666666666667,6.66666666666667,1,6.33333333333333,4.66666666666667,2.33333333333333,10,9.66666666666667,1,1,0,0,0.666666666666667,"W","L","W",1.22,6,15,0.333333333333333,7,3.33333333333333,2,2,13.6666666666667,6,8.33333333333333,13.3333333333333,13.6666666666667,3.33333333333333,2,1,0,-1.66666666666667,"L","D","L"
"9","E0",2009-12-27,"Arsenal","Aston Villa",3,0,"H",1.66666666666667,11.6666666666667,6.66666666666667,7.33333333333333,1,6,3.66666666666667,1.66666666666667,9.66666666666667,11,1,2.33333333333333,0,0,0.666666666666667,"W","W","L",1.73,3.5,5,1.33333333333333,9.66666666666667,5,4.33333333333333,0.333333333333333,14,6.66666666666667,7.33333333333333,13.3333333333333,8.66666666666667,2,1,0,1,1,"W","W","D"
"10","E0",2010-01-09,"Arsenal","Everton",2,2,"D",2.66666666666667,16.3333333333333,9.66666666666667,9.33333333333333,0,6,3,2,8.66666666666667,13,0.666666666666667,2.66666666666667,0,0,2.66666666666667,"W","W","W",1.4,4.5,8.5,2,9,4.66666666666667,5.66666666666667,2.33333333333333,14.3333333333333,8.66666666666667,4.66666666666667,18.6666666666667,16,2.66666666666667,0.666666666666667,0,0,-0.333333333333333,"D","D","L"
