"","FTR","HAG","HAS","HAST","HAC","HAOG","HAOS","HAOST","HAOC","HAF","HAOF","HAY","HAOY","HSR","HSOR","HAGD","g1h","g2h","g3h","AAG","AAS","AAST","AAC","AAOG","AAOS","AAOST","AAOC","AAF","AAOF","AAY","AAOY","ASR","ASOR","AAGD","g1a","g2a","g3a"
"1","H",4.66666666666667,22,15,7.33333333333333,1,8,5.33333333333333,3,8,12.6666666666667,1.33333333333333,1,0,0,3.66666666666667,"W","W","W",1,11.6666666666667,7,5,1.33333333333333,17,12.6666666666667,8.33333333333333,11.3333333333333,14.6666666666667,2.33333333333333,0.666666666666667,0,0,-0.333333333333333,"L","W","L"
"2","H",4.33333333333333,22.3333333333333,13.6666666666667,7,1,6,4.66666666666667,2.66666666666667,7.66666666666667,14.6666666666667,1.33333333333333,1.66666666666667,0,0,3.33333333333333,"W","W","W",1.33333333333333,11.6666666666667,5.66666666666667,6,2,20,12.3333333333333,8.66666666666667,12.6666666666667,12,2,1.66666666666667,1,1,-0.666666666666667,"W","D","L"
"3","A",4,20.6666666666667,14,7,1,5.66666666666667,4.66666666666667,2,9,12,1,1.33333333333333,0,0,3,"W","W","W",2,20.6666666666667,12.6666666666667,8.66666666666667,1.66666666666667,12.3333333333333,6.66666666666667,6,10.3333333333333,13,1.33333333333333,1.33333333333333,1,1,0.333333333333333,"W","L","L"
"4","H",2,14.3333333333333,9,5.66666666666667,1.33333333333333,5.66666666666667,4,2.66666666666667,11.6666666666667,12.6666666666667,1.33333333333333,1.66666666666667,0,0,0.666666666666667,"L","W","W",0.666666666666667,7.33333333333333,3.33333333333333,1.66666666666667,0.666666666666667,16.3333333333333,8,6.66666666666667,14.3333333333333,10.6666666666667,3,0.666666666666667,1,0,0,"D","L","W"
"5","H",1.66666666666667,11.6666666666667,7.66666666666667,6.66666666666667,1,6.33333333333333,4.66666666666667,2.33333333333333,10,9.66666666666667,1,1,0,0,0.666666666666667,"W","L","W",0.333333333333333,7,3.33333333333333,2,2,13.6666666666667,6,8.33333333333333,13.3333333333333,13.6666666666667,3.33333333333333,2,1,0,-1.66666666666667,"L","D","L"
"6","H",1.66666666666667,11.6666666666667,6.66666666666667,7.33333333333333,1,6,3.66666666666667,1.66666666666667,9.66666666666667,11,1,2.33333333333333,0,0,0.666666666666667,"W","W","L",1.33333333333333,9.66666666666667,5,4.33333333333333,0.333333333333333,14,6.66666666666667,7.33333333333333,13.3333333333333,8.66666666666667,2,1,0,1,1,"W","W","D"
"7","D",2.66666666666667,16.3333333333333,9.66666666666667,9.33333333333333,0,6,3,2,8.66666666666667,13,0.666666666666667,2.66666666666667,0,0,2.66666666666667,"W","W","W",2,9,4.66666666666667,5.66666666666667,2.33333333333333,14.3333333333333,8.66666666666667,4.66666666666667,18.6666666666667,16,2.66666666666667,0.666666666666667,0,0,-0.333333333333333,"D","D","L"
"8","H",2.66666666666667,14.3333333333333,8.66666666666667,8,0.666666666666667,7.33333333333333,3.33333333333333,4,11,14.3333333333333,1,3,0,0,2,"D","W","W",1,10.6666666666667,5.66666666666667,5.66666666666667,1.33333333333333,13,8.33333333333333,9,16.3333333333333,9,2.33333333333333,1,0,0,-0.333333333333333,"D","L","D"
"9","A",3,15,10.3333333333333,8.33333333333333,1.33333333333333,7.66666666666667,4,5,13.3333333333333,15.3333333333333,1,2,0,0,1.66666666666667,"W","D","W",1.33333333333333,16.3333333333333,8.33333333333333,6.66666666666667,1.66666666666667,9.33333333333333,6,4,13,11,1.33333333333333,0.666666666666667,1,0,-0.333333333333333,"D","W","L"
"10","H",2.33333333333333,14.6666666666667,8.66666666666667,7.66666666666667,2.33333333333333,9,4.66666666666667,5.33333333333333,11.6666666666667,13.3333333333333,1,1,0,0,0,"L","W","D",0.666666666666667,7.33333333333333,5,5.66666666666667,0.333333333333333,7.66666666666667,5.33333333333333,6,10.6666666666667,12.3333333333333,1.33333333333333,0.666666666666667,0,0,0.333333333333333,"D","D","W"
"11","H",2,16.3333333333333,9,6.66666666666667,1.66666666666667,9,5.33333333333333,4.66666666666667,14.6666666666667,14,1.66666666666667,1.33333333333333,0,0,0.333333333333333,"W","L","W",1,6.33333333333333,2.66666666666667,4.33333333333333,3.33333333333333,15.3333333333333,8.66666666666667,8.66666666666667,14.6666666666667,8,1,1,2,1,-2.33333333333333,"D","L","L"
"12","H",1.33333333333333,15,7.66666666666667,6,1,8.66666666666667,5.33333333333333,4,12,11.6666666666667,1.66666666666667,2.33333333333333,0,0,0.333333333333333,"W","W","L",0.666666666666667,11,6,4.66666666666667,3,15,8.66666666666667,6.33333333333333,10.6666666666667,8.66666666666667,1.66666666666667,1.33333333333333,0,0,-2.33333333333333,"L","L","L"
"13","H",2,15.6666666666667,9,6,0.333333333333333,7.66666666666667,5.33333333333333,3,10.6666666666667,11.6666666666667,1.33333333333333,3.66666666666667,0,0,1.66666666666667,"W","W","W",0.666666666666667,11.3333333333333,5.66666666666667,4.33333333333333,3,14,9.33333333333333,6.66666666666667,11.6666666666667,12.6666666666667,1,0.666666666666667,0,0,-2.33333333333333,"L","L","L"
"14","H",2.33333333333333,15,8.66666666666667,6.33333333333333,0.333333333333333,7.33333333333333,4.33333333333333,1.66666666666667,6.66666666666667,15.3333333333333,0.666666666666667,4.33333333333333,1,0,2,"W","W","W",2.33333333333333,6.33333333333333,3.66666666666667,5.33333333333333,1.33333333333333,16.6666666666667,8,8.66666666666667,19,9.66666666666667,2.66666666666667,0.666666666666667,0,0,1,"W","D","W"
"15","D",2,17.3333333333333,9.66666666666667,7.33333333333333,0.333333333333333,6.33333333333333,3.66666666666667,2.66666666666667,7.33333333333333,16.3333333333333,0.333333333333333,3.33333333333333,1,1,1.66666666666667,"W","W","W",3,15.6666666666667,10.6666666666667,5.33333333333333,1,12,6,4.33333333333333,9,8.33333333333333,1.33333333333333,0.666666666666667,0,0,2,"W","W","D"
"16","H",1,13.6666666666667,7.33333333333333,6.33333333333333,0,4.66666666666667,2.66666666666667,2.33333333333333,10,17,1.66666666666667,2.66666666666667,1,1,1,"D","W","W",0.333333333333333,7.33333333333333,5.66666666666667,4,1.33333333333333,13.3333333333333,7.33333333333333,8.33333333333333,14.3333333333333,8,2.66666666666667,1,0,0,-1,"L","D","L"
"17","D",1.33333333333333,9,4.66666666666667,6.66666666666667,0.666666666666667,12.3333333333333,7.33333333333333,5,13.6666666666667,11.6666666666667,1.66666666666667,1.33333333333333,0,0,0.666666666666667,"W","W","L",2,10,6.33333333333333,5.33333333333333,1.33333333333333,16.3333333333333,8.66666666666667,6.33333333333333,10,13,1.33333333333333,2,0,0,0.666666666666667,"L","W","W"
"18","H",1.66666666666667,9.33333333333333,5,7.33333333333333,0.333333333333333,10.6666666666667,7.33333333333333,5,12,9.66666666666667,1.33333333333333,1.33333333333333,0,0,1.33333333333333,"D","W","W",1.66666666666667,14.6666666666667,7.33333333333333,9.33333333333333,1.33333333333333,7.66666666666667,4,4,10.6666666666667,11.6666666666667,1.66666666666667,1.33333333333333,1,0,0.333333333333333,"L","W","W"
"19","H",1.66666666666667,8.66666666666667,5.33333333333333,6.33333333333333,0.666666666666667,15.6666666666667,10.6666666666667,6.66666666666667,15.3333333333333,11,1.66666666666667,1,0,0,1,"W","D","W",2,13,5.66666666666667,3.33333333333333,1.66666666666667,15.3333333333333,8,9.33333333333333,14,13.6666666666667,0.666666666666667,1.33333333333333,0,0,0.333333333333333,"L","W","W"
"20","D",2.66666666666667,12.6666666666667,8,6.66666666666667,1,14.3333333333333,9.66666666666667,5.33333333333333,15.3333333333333,12.3333333333333,1.33333333333333,2.33333333333333,0,0,1.66666666666667,"W","W","D",1.33333333333333,11,6,5.66666666666667,2,17.6666666666667,11.3333333333333,7,13,13,1.66666666666667,2,1,1,-0.666666666666667,"L","W","D"
"21","H",2.66666666666667,12.6666666666667,7.33333333333333,7,1,19,13,6.33333333333333,15.3333333333333,12.3333333333333,1,2,0,0,1.66666666666667,"D","W","W",0.333333333333333,7,3.66666666666667,2.33333333333333,1.66666666666667,15,7.66666666666667,7.66666666666667,13.3333333333333,13,2.66666666666667,1,1,0,-1.33333333333333,"D","L","L"
"22","H",3,14.6666666666667,7.66666666666667,8,0.666666666666667,13.6666666666667,9,4.33333333333333,14,13,1.66666666666667,2.66666666666667,0,0,2.33333333333333,"W","D","W",0.333333333333333,6.33333333333333,4,2,1.33333333333333,13,6.66666666666667,7.66666666666667,10.6666666666667,9,2,0.666666666666667,1,0,-1,"L","D","L"
"23","A",1.66666666666667,14,6,6.33333333333333,0.333333333333333,13.6666666666667,7.66666666666667,5.33333333333333,11.3333333333333,11.6666666666667,1.33333333333333,1.66666666666667,0,0,1.33333333333333,"W","W","D",0.666666666666667,10.3333333333333,7,7.33333333333333,0.666666666666667,11.6666666666667,5.66666666666667,5,11,12.3333333333333,1,1.66666666666667,1,0,0,"L","D","W"
"24","D",1.33333333333333,13.6666666666667,7,6.66666666666667,0.333333333333333,10,5,5.66666666666667,12.3333333333333,12.6666666666667,1.66666666666667,1.66666666666667,0,0,1,"L","W","W",0.333333333333333,8.66666666666667,5,4.66666666666667,2,20,10,9.33333333333333,11.3333333333333,10.3333333333333,2.66666666666667,3,1,0,-1.66666666666667,"L","L","L"
"25","D",0.333333333333333,15,8.33333333333333,9,0.333333333333333,11,5.66666666666667,6,9.66666666666667,11.6666666666667,0.666666666666667,1.66666666666667,0,0,0,"D","L","W",2.33333333333333,15,9.33333333333333,6.66666666666667,0.666666666666667,10,5,2.33333333333333,6.33333333333333,12.6666666666667,0.666666666666667,1.66666666666667,0,0,1.66666666666667,"W","W","D"
"26","D",0,12,6.33333333333333,10.3333333333333,0.333333333333333,10.6666666666667,6.66666666666667,7,12,12.6666666666667,1.33333333333333,2,0,0,-0.333333333333333,"D","D","L",2.33333333333333,14.6666666666667,8.66666666666667,7.66666666666667,1,12,6,5,14,10.6666666666667,1,1,1,0,1.33333333333333,"W","D","W"
"27","H",0.333333333333333,11.6666666666667,6,8,0.333333333333333,10.6666666666667,5.66666666666667,6,10.6666666666667,12.3333333333333,1,2,0,1,0,"D","D","D",0,10.3333333333333,4.33333333333333,3.33333333333333,2.33333333333333,18,9.66666666666667,5.66666666666667,9,11,0.666666666666667,1.33333333333333,0,0,-2.33333333333333,"L","L","L"
"28","D",2,11,5.33333333333333,5.66666666666667,1,12.3333333333333,8,6.33333333333333,10,12.3333333333333,0.666666666666667,2,0,1,1,"W","D","D",1,8.33333333333333,4,7,1.33333333333333,17.6666666666667,10,9.66666666666667,15,10.6666666666667,3,2,0,0,-0.333333333333333,"W","L","L"
"29","D",2.66666666666667,12,5.66666666666667,5.66666666666667,1.66666666666667,10.6666666666667,6.66666666666667,5.66666666666667,8,11.3333333333333,0.333333333333333,2,0,1,1,"D","W","D",0.333333333333333,6,3,4.33333333333333,1.66666666666667,13,7.66666666666667,6,14.6666666666667,9.33333333333333,2.33333333333333,1.33333333333333,2,1,-1.33333333333333,"L","D","L"
"30","D",2.66666666666667,12.3333333333333,5,7.33333333333333,1.66666666666667,10,6.33333333333333,5.66666666666667,6.66666666666667,10.3333333333333,0.333333333333333,1.66666666666667,0,0,1,"D","D","W",1.33333333333333,15,10.3333333333333,5,0.666666666666667,9.33333333333333,3.66666666666667,5,11,11.6666666666667,1.33333333333333,1.66666666666667,0,0,0.666666666666667,"D","W","D"
"31","H",1.66666666666667,10.6666666666667,4.66666666666667,6.66666666666667,1.66666666666667,10,6.33333333333333,6,8.66666666666667,9.33333333333333,1,1.33333333333333,0,0,0,"D","D","D",1,11.3333333333333,7.33333333333333,6.66666666666667,3.33333333333333,12.3333333333333,8,6.66666666666667,9,12.6666666666667,1.66666666666667,0.666666666666667,0,0,-2.33333333333333,"L","L","L"
"32","A",1.33333333333333,10.3333333333333,5.66666666666667,6.66666666666667,1,13,9.66666666666667,6,9.33333333333333,10.6666666666667,1,2,0,0,0.333333333333333,"W","D","D",0.666666666666667,13.3333333333333,7,5,0.333333333333333,9,3.66666666666667,4,10,11.6666666666667,1.33333333333333,1.66666666666667,0,1,0.333333333333333,"D","D","W"
"33","H",0.333333333333333,10.3333333333333,6.33333333333333,6,1,11.6666666666667,4,2.66666666666667,9,16.6666666666667,1,2,0,0,-0.666666666666667,"L","L","D",1,7,4.66666666666667,5,2,13.3333333333333,6.33333333333333,9.33333333333333,12.6666666666667,8,2.66666666666667,0.666666666666667,1,0,-1,"D","L","L"
"34","D",1,14,8.66666666666667,7,1.33333333333333,12,5,4.33333333333333,9.33333333333333,17,2,1.33333333333333,0,0,-0.333333333333333,"W","L","L",1.66666666666667,8,5.66666666666667,4.33333333333333,2,15.3333333333333,8,7.66666666666667,11,13.3333333333333,1.66666666666667,1.66666666666667,1,0,-0.333333333333333,"D","D","L"
